id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
103,BĂLAN,NICHIFOR,3,ARGEŞ,18778,STÎLPENI,MANAGER DE PROIECT,PSIHOLOG,3,ARGEŞ,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
104,DIACONU,GHEORGHE,3,ARGEŞ,19249,TIGVENI,INGINER,INGINER,3,ARGEŞ,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
105,BUCUR,OLIVER,3,ARGEŞ,19695,VALEA IAŞULUI,ADMINISTRATOR,ANTREPENOR,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
106,BARBU,NICOLAE,3,ARGEŞ,19695,VALEA IAŞULUI,PRIMAR,JURIST,3,ARGEŞ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
107,VLASE,PETRU-GABRIEL,4,BACĂU,20297,MUNICIPIUL BACĂU,DEPUTAT,INGINER,4,BACĂU,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
108,FLOROIU,IONEL,4,BACĂU,20297,MUNICIPIUL BACĂU,VICEPREȘEDINTE CONSILIUL JUDETEAN BACAU,ȘTIINȚE ADMINISTRATIVE,4,BACĂU,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
109,MIRCEA,CRISTINA,4,BACĂU,20297,MUNICIPIUL BACĂU,PROFESOR LIMBA ENGLEZĂ,PROFESOR,42,MUNICIPIUL BUCUREŞTI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,15
110,MOLDOVAN,SORIN-DAN,5,BIHOR,26564,MUNICIPIUL ORADEA,Director marketing,economist,13,CLUJ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
111,JAKABFFY,LADISLAU-GHEORGHE,5,BIHOR,26564,MUNICIPIUL ORADEA,MINER PROFESIONIST,INGINER CONSTRUCTOR,39,VASLUI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
112,PETŐ,DALMA-CSILLA,5,BIHOR,26564,MUNICIPIUL ORADEA,DIRECTOR ADJUNCT,ECONOMIST,41,VRANCEA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
113,KÁDÁR,TÜNDE,5,BIHOR,26564,MUNICIPIUL ORADEA,CONSILIER JURIDIC,JURIST,12,CĂLĂRAŞI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
114,CSEKE,ATTILA-ZOLTAN,5,BIHOR,26564,MUNICIPIUL ORADEA,DEPUTAT,JURIST,5,BIHOR,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
115,SOMOGYI,VIKTOR,5,BIHOR,26564,MUNICIPIUL ORADEA,PENSIONAR,LĂCĂTUȘ,12,CĂLĂRAŞI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
116,SOMOGYI,TIBOR ANDRÁS,5,BIHOR,26564,MUNICIPIUL ORADEA,FĂRĂ OCUPAȚIE,ZIDAR,12,CĂLĂRAŞI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
117,BAUMAN,DIETER-GERGŐ,5,BIHOR,26564,MUNICIPIUL ORADEA,PROFESOR,POLITOLOG,25,ILFOV,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
118,LUPȘE,ADELA-ANCA,5,BIHOR,28889,CRIŞTIORU DE JOS,MARKETING MANAGER,JURNALIST,25,ILFOV,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
119,VESSELÉNYI-HORVÁTH,EDIT,5,BIHOR,30988,SĂLACEA,CONSILIER,ECONOMIST,12,CĂLĂRAŞI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
120,SIMIONCA,IONUȚ,6,BISTRIŢA-NĂSĂUD,32394,MUNICIPIUL BISTRIŢA,Director General,Inginer Zootehnist,6,BISTRIŢA-NĂSĂUD,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,1
121,ORȘAN,DIANA-PETRUȚA,6,BISTRIŢA-NĂSĂUD,32394,MUNICIPIUL BISTRIŢA,Student,Medic,6,BISTRIŢA-NĂSĂUD,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
122,SZABO,MARGIT-DALMA,6,BISTRIŢA-NĂSĂUD,32394,MUNICIPIUL BISTRIŢA,INSPECTOR ASIGURARI,PROFESOR,10,BUZĂU,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
123,SZEKELY,PAVEL,6,BISTRIŢA-NĂSĂUD,32394,MUNICIPIUL BISTRIŢA,PENSIONAR,INGINER CONSTRUCȚII,10,BUZĂU,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
124,KERTÉSZ,PETRU-ENDRE,6,BISTRIŢA-NĂSĂUD,32394,MUNICIPIUL BISTRIŢA,SUBINGINER,SUBINGINER,10,BUZĂU,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
