"SIMIHÂIAN VALER";"PARTIDUL NATIONAL LIBERAL";"S2 Bistrita-Nasaud";4870
"KOCSIS ANDREI";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Bistrita-Nasaud";3699
"PAMFILOIU CONSTANTIN";"PARTIDUL ROMÂNIA MARE";"S2 Bistrita-Nasaud";1902
"PREDESCU VALERIA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Bistrita-Nasaud";954
"RATIU ONORIU";"PARTIDUL VERDE ECOLOGIST";"S2 Bistrita-Nasaud";334
"MARCU GHEORGHE";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Botosani";19771
"LUCA MIHAI";"PARTIDUL DEMOCRAT LIBERAL";"S1 Botosani";14440
"GRIGORAS VIOREL";"PARTIDUL NATIONAL LIBERAL";"S1 Botosani";8017
"CODREANU DUMITRU";"PARTIDUL ROMÂNIA MARE";"S1 Botosani";2390
"MUNTEANU IO AN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Botosani";2033
"SZABO STEFAN -CAROL";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Botosani";170
"CÂMPANU LIVIU";"PARTIDUL NATIONAL LIBERAL";"S2 Botosani";22030
"ALEXANDRU VIOREL";"PARTIDUL DEMOCRAT LIBERAL";"S2 Botosani";13690
"ADASCALITEI CLAUDU";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Botosani";12241
"STRÂCHINARIU LIVIU";"PARTIDUL ROMÂNIA MARE";"S2 Botosani";1782
"LUNGU PETRICA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Botosani";935
"MATYI STEFAN";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Botosani";145
"HUMELNICU AUGUSTIN - DANIEL";"PARTIDUL DEMOCRAT LIBERAL";"S3 Botosani";13432
"PANA VIOREL -MARIAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S3 Botosani";11507
"OPRISANU OVIDIU -GABRIEL";"PARTIDUL NATIONAL LIBERAL";"S3 Botosani";8871
"ROTARU PAMFIL -TEOFIL";"PARTIDUL ROMÂNIA MARE";"S3 Botosani";2438
"EGNER FLORIN -SIMION";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Botosani";1857
"TANASACHE STEFAN";"PARTIDUL VERDE ECOLOGIST";"S3 Botosani";418
"TUNYOGI STEFAN";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Botosani";96
"ROTARU ION";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Braila";30009
