"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","5 Arad",13
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","5 Arad",31
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","5 Arad",59
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","5 Arad",13
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","5 Arad",8
"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","5 Arad",12
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","5 Arad",10
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","5 Arad",11
"LAZAR-IOSIP MARIUS-VICENTIO","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","6 Arad",5875
"SIPOS GYORGY","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","6 Arad",497
"GONDOR MARIUS-SORIN","PARTIDUL DEMOCRAT LIBERAL","6 Arad",10514
"FÎCIU GABRIELA-ANIELA","PARTIDUL NATIONAL LIBERAL","6 Arad",1626
"RÂUT PA VEL","PARTIDUL ROMÂNIA MARE","6 Arad",1014
"RANCU TIBERIU-PANTELIE","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","6 Arad",694
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","6 Arad",48
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","6 Arad",58
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","6 Arad",39
"ZISOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","6 Arad",17
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","6 Arad",10
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","6 Arad",254
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","6 Arad",52
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","6 Arad",50
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","6 Arad",35
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","6 Arad",39
"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","6 Arad",29
